name,type,oblast_name,raion_name,koatuu_code,population
Торецьк,місто,Донецька область,Бахмутський район,1411600000,32000
Мирноград,місто,Донецька область,Покровський район,1411000000,46700
Новогродівка,місто,Донецька область,Покровський район,1414500000,14500
Добропілля,місто,Донецька область,Покровський район,1410900000,28300
Українськ,місто,Донецька область,Покровський район,1415700000,10700
Лиман,місто,Донецька область,Бахмутський район,1412100000,20000
Соледар,місто,Донецька область,Бахмутський район,1414400000,10000
Часів Яр,місто,Донецька область,Бахмутський район,1415900000,12000
Волноваха,місто,Донецька область,Волноваський район,1410800000,21000
Довжанськ,місто,Луганська область,Довжанський район,4410700000,22000
Рубіжне,місто,Луганська область,Сєвєродонецький район,4413800000,56000
Попасна,місто,Луганська область,Сєвєродонецький район,4413400000,20000
Щастя,місто,Луганська область,Сєвєродонецький район,4415900000,12000
Кремінна,місто,Луганська область,Старобільський район,4411900000,18000
Краматорськ,місто,Донецька область,Бахмутський район,1411500000,150084
Слов'янськ,місто,Донецька область,Бахмутський район,1414300000,106972
Чорноморськ,місто,Одеська область,Одеський район,5111700000,59000
Горішні Плавні,місто,Полтавська область,Кременчуцький район,5310300000,50000
Олешки,місто,Херсонська область,Херсонський район,6514700000,24000
Нова Каховка,місто,Херсонська область,Каховський район,6514200000,45000
Білозерськ,місто,Херсонська область,Херсонський район,6510200000,12000
Бериславський,місто,Херсонська область,Бериславський район,6510400000,12000
Гола Пристань,місто,Херсонська область,Херсонський район,6510600000,14000
Каланчак,селище міського типу,Херсонська область,Херсонський район,6511800000,5000
Балаклія,місто,Харківська область,Ізюмський район,6310200000,27000
Ізюм,місто,Харківська область,Ізюмський район,6311200000,45000
Куп'янськ,місто,Харківська область,Куп'янський район,6312400000,27000
Зміїв,місто,Харківська область,Чугуївський район,6311100000,14000
Вовчанськ,місто,Харківська область,Чугуївський район,6310900000,17000
Енергодар,місто,Запорізька область,Василівський район,2310800000,53000
Токмак,місто,Запорізька область,Мелітопольський район,2315400000,30000
Гуляйполе,місто,Запорізька область,Пологівський район,2310900000,13000
Оріхів,місто,Запорізька область,Пологівський район,2314400000,14000
Інгулець,місто,Дніпропетровська область,Криворізький район,1211200000,13000
Марганець,місто,Дніпропетровська область,Нікопольський район,1213700000,45000
Жовті Води,місто,Дніпропетровська область,Криворізький район,1212000000,43000
Тернівка,місто,Дніпропетровська область,Криворізький район,1215300000,29000
Першотравенськ,місто,Дніпропетровська область,Дніпровський район,1215500000,28000
Васильків,місто,Київська область,Обухівський район,3210400000,37000
Славутич,місто,Київська область,Вишгородський район,3223400000,25000
Українка,місто,Київська область,Обухівський район,3225500000,15000
Ржищів,місто,Київська область,Обухівський район,3224800000,7000
Вишневе,місто,Київська область,Бучанський район,3210900000,38000
Буча,місто,Київська область,Бучанський район,3211000000,37000
Ірпінь,місто,Київська область,Бучанський район,3211500000,66275
Коростень,місто,Житомирська область,Коростенський район,1811800000,63000
Ковель,місто,Волинська область,Ковельський район,0711800000,68278
Нововолинськ,місто,Волинська область,Володимир-Волинський район,0714200000,50000
Володимир-Волинський,місто,Волинська область,Володимир-Волинський район,0710900000,38000
