name,full_name,type,address,phone,email,website,head_judge
Вінницький міський суд,Вінницький міський суд Вінницької області,міський,"м. Вінниця, вул. Соборна, 59",+380432465120,inbox@vinmr.court.gov.ua,vinmr.court.gov.ua,
Вінницький районний суд,Вінницький районний суд Вінницької області,районний,"м. Вінниця, вул. Келецька, 99",+380432551245,inbox@vinrn.court.gov.ua,vinrn.court.gov.ua,
Гайсинський районний суд,Гайсинський районний суд Вінницької області,районний,"м. Гайсин, вул. Соборна, 167",+380434451203,inbox@gaisin.vn.court.gov.ua,gaisin.vn.court.gov.ua,
Жмеринський міськрайонний суд,Жмеринський міськрайонний суд Вінницької області,міськрайонний,"м. Жмеринка, вул. Соборна, 34",+380433642156,inbox@zhmerinka.vn.court.gov.ua,zhmerinka.vn.court.gov.ua,
Могилів-Подільський районний суд,Могилів-Подільський районний суд Вінницької області,районний,"м. Могилів-Подільський, вул. Грушевського, 32",+380433840156,inbox@mogiliv.vn.court.gov.ua,mogiliv.vn.court.gov.ua,
Тульчинський районний суд,Тульчинський районний суд Вінницької області,районний,"м. Тульчин, вул. Незалежності, 1",+380433552134,inbox@tulchin.vn.court.gov.ua,tulchin.vn.court.gov.ua,
Хмільницький міськрайонний суд,Хмільницький міськрайонний суд Вінницької області,міськрайонний,"м. Хмільник, вул. Героїв Майдану, 2",+380338751234,inbox@hmilnyk.vn.court.gov.ua,hmilnyk.vn.court.gov.ua,
Луцький міськрайонний суд,Луцький міськрайонний суд Волинської області,міськрайонний,"м. Луцьк, вул. Винниченка, 26",+380332724567,inbox@lutsk.vl.court.gov.ua,lutsk.vl.court.gov.ua,
Володимир-Волинський міськрайонний суд,Володимир-Волинський міськрайонний суд Волинської області,міськрайонний,"м. Володимир-Волинський, вул. Устилузька, 19",+380334223456,inbox@volodymyr.vl.court.gov.ua,volodymyr.vl.court.gov.ua,
Ковельський міськрайонний суд,Ковельський міськрайонний суд Волинської область,міськрайонний,"м. Ковель, вул. Незалежності, 73",+380335422345,inbox@kovel.vl.court.gov.ua,kovel.vl.court.gov.ua,
Камінь-Каширський районний суд,Камінь-Каширський районний суд Волинської області,районний,"м. Камінь-Каширський, вул. Лесі Українки, 15",+380335322456,inbox@kamin.vl.court.gov.ua,kamin.vl.court.gov.ua,
Дніпровський районний суд міста Дніпра,Дніпровський районний суд міста Дніпра,районний,"м. Дніпро, проспект Слобожанський, 118",+380563745678,inbox@dnipro.dp.court.gov.ua,dnipro.dp.court.gov.ua,
Кам'янський міський суд,Кам'янський міський суд Дніпропетровської області,міський,"м. Кам'янське, просп. Свободи, 41",+380569234567,inbox@kamyanske.dp.court.gov.ua,kamyanske.dp.court.gov.ua,
Криворізький районний суд,Криворізький районний суд Дніпропетровської області,районний,"м. Кривий Ріг, вул. Косіора, 62",+380564923456,inbox@kryvyirih.dp.court.gov.ua,kryvyirih.dp.court.gov.ua,
Нікопольський міськрайонний суд,Нікопольський міськрайонний суд Дніпропетровської області,міськрайонний,"м. Нікополь, вул. Шевченка, 203",+380566634567,inbox@nikopol.dp.court.gov.ua,nikopol.dp.court.gov.ua,
Новомосковський міськрайонний суд,Новомосковський міськрайонний суд Дніпропетровської області,міськрайонний,"м. Новомосковськ, вул. Соборна, 2",+380569341234,inbox@novomoskovsk.dp.court.gov.ua,novomoskovsk.dp.court.gov.ua,
Павлоградський міськрайонний суд,Павлоградський міськрайонний суд Дніпропетровської області,міськрайонний,"м. Павлоград, вул. Дніпровська, 210",+380563451234,inbox@pavlohrad.dp.court.gov.ua,pavlohrad.dp.court.gov.ua,
Синельниківський районний суд,Синельниківський районний суд Дніпропетровської області,районний,"м. Синельникове, вул. Шевченка, 3",+380566751234,inbox@synelnykove.dp.court.gov.ua,synelnykove.dp.court.gov.ua,
Бахмутський міськрайонний суд,Бахмутський міськрайонний суд Донецької області,міськрайонний,"м. Бахмут, вул. Миру, 21",+380627451234,inbox@bakhmut.dn.court.gov.ua,bakhmut.dn.court.gov.ua,
Волноваський районний суд,Волноваський районний суд Донецької області,районний,"м. Волноваха, вул. Центральна, 77",+380623451234,inbox@volnovakha.dn.court.gov.ua,volnovakha.dn.court.gov.ua,
Маріупольський міський суд,Маріупольський міський суд Донецької області,міський,"м. Маріуполь, просп. Миру, 84",+380629451234,inbox@mariupol.dn.court.gov.ua,mariupol.dn.court.gov.ua,
Покровський міськрайонний суд,Покровський міськрайонний суд Донецької області,міськрайонний,"м. Покровськ, вул. Європейська, 59",+380623851234,inbox@pokrovsk.dn.court.gov.ua,pokrovsk.dn.court.gov.ua,
Житомирський міський суд,Житомирський міський суд Житомирської області,міський,"м. Житомир, вул. Київська, 94",+380412471234,inbox@zhytomyr.zt.court.gov.ua,zhytomyr.zt.court.gov.ua,
Бердичівський міськрайонний суд,Бердичівський міськрайонний суд Житомирської області,міськрайонний,"м. Бердичів, вул. Європейська, 23",+380414141234,inbox@berdychiv.zt.court.gov.ua,berdychiv.zt.court.gov.ua,
Коростенський міськрайонний суд,Коростенський міськрайонний суд Житомирської області,міськрайонний,"м. Коростень, вул. Грушевського, 56",+380414151234,inbox@korosten.zt.court.gov.ua,korosten.zt.court.gov.ua,
Новоград-Волинський міськрайонний суд,Новоград-Волинський міськрайонний суд Житомирської області,міськрайонний,"м. Новоград-Волинський, вул. Соборна, 7",+380414161234,inbox@novohrad.zt.court.gov.ua,novohrad.zt.court.gov.ua,
Берегівський районний суд,Берегівський районний суд Закарпатської області,районний,"м. Берегове, вул. Корятовича, 24",+380313141234,inbox@berehove.zk.court.gov.ua,berehove.zk.court.gov.ua,
Мукачівський міськрайонний суд,Мукачівський міськрайонний суд Закарпатської області,міськрайонний,"м. Мукачево, вул. Миру, 19",+380313141256,inbox@mukachevo.zk.court.gov.ua,mukachevo.zk.court.gov.ua,
Рахівський районний суд,Рахівський районний суд Закарпатської області,районний,"м. Рахів, вул. Миру, 5",+380313241234,inbox@rakhiv.zk.court.gov.ua,rakhiv.zk.court.gov.ua,
Тячівський районний суд,Тячівський районний суд Закарпатської області,районний,"м. Тячів, пл. Возз'єднання, 1",+380313451234,inbox@tiachiv.zk.court.gov.ua,tiachiv.zk.court.gov.ua,
Ужгородський міськрайонний суд,Ужгородський міськрайонний суд Закарпатської області,міськрайонний,"м. Ужгород, вул. Собранецька, 60",+380312614567,inbox@uzhhorod.zk.court.gov.ua,uzhhorod.zk.court.gov.ua,
Хустський районний суд,Хустський районний суд Закарпатської області,районний,"м. Хуст, вул. Духновича, 22",+380313141256,inbox@khust.zk.court.gov.ua,khust.zk.court.gov.ua,
Запорізький районний суд,Запорізький районний суд Запорізької області,районний,"м. Запоріжжя, вул. Сталеварів, 3",+380617641234,inbox@zaporizhzhia.zp.court.gov.ua,zaporizhzhia.zp.court.gov.ua,
Бердянський міськрайонний суд,Бердянський міськрайонний суд Запорізької області,міськрайонний,"м. Бердянськ, вул. Консульська, 1",+380615341234,inbox@berdiansk.zp.court.gov.ua,berdiansk.zp.court.gov.ua,
Мелітопольський міськрайонний суд,Мелітопольський міськрайонний суд Запорізької області,міськрайонний,"м. Мелітополь, просп. Богдана Хмельницького, 26",+380619441234,inbox@melitopol.zp.court.gov.ua,melitopol.zp.court.gov.ua,
Пологівський районний суд,Пологівський районний суд Запорізької області,районний,"м. Пологи, вул. Незалежності, 92",+380615741234,inbox@polohy.zp.court.gov.ua,polohy.zp.court.gov.ua,
Василівський районний суд,Василівський районний суд Запорізької області,районний,"м. Василівка, вул. Запорізька, 84",+380615241234,inbox@vasylivka.zp.court.gov.ua,vasylivka.zp.court.gov.ua,
Івано-Франківський міський суд,Івано-Франківський міський суд Івано-Франківської області,міський,"м. Івано-Франківськ, вул. Грушевського, 21",+380342751234,inbox@ifcity.if.court.gov.ua,ifcity.if.court.gov.ua,
Верховинський районний суд,Верховинський районний суд Івано-Франківської області,районний,"смт Верховина, вул. Шевченка, 77",+380343451234,inbox@verkhovyna.if.court.gov.ua,verkhovyna.if.court.gov.ua,
Калуський міськрайонний суд,Калуський міськрайонний суд Івано-Франківської області,міськрайонний,"м. Калуш, вул. Богдана Хмельницького, 6",+380347761234,inbox@kalush.if.court.gov.ua,kalush.if.court.gov.ua,
Коломийський міськрайонний суд,Коломийський міськрайонний суд Івано-Франківської області,міськрайонний,"м. Коломия, вул. Чорновола, 45",+380343451278,inbox@kolomyia.if.court.gov.ua,kolomyia.if.court.gov.ua,
Надвірнянський районний суд,Надвірнянський районний суд Івано-Франківської області,районний,"м. Надвірна, вул. Собorna, 172",+380343421234,inbox@nadvirna.if.court.gov.ua,nadvirna.if.court.gov.ua,
Білоцерківський міськрайонний суд,Білоцерківський міськрайонний суд Київської області,міськрайонний,"м. Біла Церква, бул. 50-річчя Перемоги, 34",+380456341234,inbox@bc.kyiv.court.gov.ua,bc.kyiv.court.gov.ua,
Бориспільський міськрайонний суд,Бориспільський міськрайонний суд Київської області,міськрайонний,"м. Бориспіль, вул. Київський Шлях, 86",+380457451234,inbox@boryspil.kyiv.court.gov.ua,boryspil.kyiv.court.gov.ua,
