court_name,original_oblast,original_raion,original_settlement,original_address,current_oblast,current_raion,current_settlement,current_address,displacement_date,reason,status
Маріупольський міський суд (тимчасово переміщений),Донецька область,Маріупольський район,Маріуполь,"м. Маріуполь, просп. Миру, 84",Дніпропетровська область,Дніпровський район,Дніпро,"м. Дніпро, вул. Тимчасова локація (уточнити)",2022-03-01,Окупація Маріуполя російськими військами,тимчасово_переміщений
Волноваський районний суд (тимчасово переміщений),Донецька область,Волноваський район,Волноваха,"м. Волноваха, вул. Центральна, 77",Донецька область,Покровський район,Покровськ,"м. Покровськ, вул. Тимчасова (уточнити)",2022-03-01,Окупація Волновахи,тимчасово_переміщений
Донецький міський суд (тимчасово переміщений),Донецька область,Калміуський район,Донецьк,"м. Донецьк, бул. Пушкіна, 1",Донецька область,Покровський район,Покровськ,"Переміщений (уточнити адресу)",2014-07-01,Окупація Донецька з 2014,тимчасово_переміщений
Горлівський міський суд (тимчасово переміщений),Донецька область,Горлівський район,Горлівка,"м. Горлівка, вул. Радянська, 1",Донецька область,Бахмутський район,Краматорськ,"Переміщений (уточнити адресу)",2014-07-01,Окупація Горлівки з 2014,тимчасово_переміщений
Макіївський міський суд (тимчасово переміщений),Донецька область,Калміуський район,Макіївка,"м. Макіївка, вул. Леніна, 1",Донецька область,Покровський район,Покровськ,"Переміщений (уточнити адресу)",2014-07-01,Окупація Макіївки з 2014,тимчасово_переміщений
Луганський міський суд (тимчасово переміщений),Луганська область,Луганський район,Луганськ,"м. Луганськ, пл. Героїв Великої Вітчизняної війни, 1",Луганська область,Старобільський район,Старобільськ,"м. Старобільськ, пл. Радянська, 4 (використовує приміщення Старобільського суду)",2014-07-01,Окупація Луганська з 2014,тимчасово_переміщений
Алчевський міський суд (тимчасово переміщений),Луганська область,Алчевський район,Алчевськ,"м. Алчевськ, вул. Леніна, 1",Луганська область,Сватівський район,Сватове,"Переміщений (уточнити адресу)",2014-07-01,Окупація Алчевська з 2014,тимчасово_переміщений
Сєвєродонецький міський суд (тимчасово переміщений),Луганська область,Сєвєродонецький район,Сєвєродонецьк,"м. Сєвєродонецьк, просп. Гвардійський, 43а",Луганська область,Старобільський район,Старобільськ,"Переміщений до Старобільська (уточнити адресу)",2022-06-25,Окупація Сєвєродонецька в 2022,тимчасово_переміщений
Лисичанський міський суд (тимчасово переміщений),Луганська область,Сєвєродонецький район,Лисичанськ,"м. Лисичанськ, вул. Ленінська, 1",Луганська область,Старобільський район,Старобільськ,"Переміщений до Старобільська (уточнити адресу)",2022-07-03,Окупація Лисичанська в 2022,тимчасово_переміщений
Рубіжанський міський суд (тимчасово переміщений),Луганська область,Сєвєродонецький район,Рубіжне,"м. Рубіжне, вул. Центральна, 1",Луганська область,Старобільський район,Старобільськ,"Переміщений (уточнити адресу)",2022-05-12,Окупація Рубіжного в 2022,тимчасово_переміщений
Попаснянський районний суд (тимчасово переміщений),Луганська область,Сєвєродонецький район,Попасна,"м. Попасна, вул. Центральна, 1",Луганська область,Старобільський район,Старобільськ,"Переміщений (уточнити адресу)",2022-05-08,Окупація та руйнування Попасної в 2022,тимчасово_переміщений
Кремінський районний суд (тимчасово переміщений),Луганська область,Старобільський район,Кремінна,"м. Кремінна, вул. Центральна, 1",Луганська область,Старобільський район,Старобільськ,"Переміщений до Старобільська (уточнити адресу)",2022-04-18,Окупація Кремінної в 2022,тимчасово_переміщений
Херсонський міський суд (тимчасово переміщений),Херсонська область,Херсонський район,Херсон,"м. Херсон, вул. Суворова, 113",Херсонська область,Бериславський район,Берислав,"Тимчасово в контрольованій частині області (уточнити)",2022-03-02,Окупація Херсона (звільнено 11.11.2022 але зруйновано),тимчасово_переміщений
Каховський міськрайонний суд (тимчасово переміщений),Херсонська область,Каховський район,Каховка,"м. Каховка, вул. Миру, 27",Херсонська область,Херсонський район,Херсон,"Переміщений після руйнування Каховки",2023-06-06,Руйнування Каховської ГЕС та затоплення міста,тимчасово_переміщений
Генічеський районний суд (тимчасово переміщений),Херсонська область,Генічеський район,Генічеськ,"м. Генічеськ, вул. Шевченка, 3",Херсонська область,Скадовський район,Скадовськ,"Переміщений (під окупацією)",2022-02-26,Окупація Генічеська,тимчасово_переміщений
Мелітопольський міськрайонний суд (тимчасово переміщений),Запорізька область,Мелітопольський район,Мелітополь,"м. Мелітополь, просп. Богдана Хмельницького, 26",Запорізька область,Запорізький район,Запоріжжя,"м. Запоріжжя, вул. Тимчасова (уточнити)",2022-02-26,Окупація Мелітополя,тимчасово_переміщений
Бердянський міськрайонний суд (тимчасово переміщений),Запорізька область,Бердянський район,Бердянськ,"м. Бердянськ, вул. Консульська, 1",Запорізька область,Запорізький район,Запоріжжя,"м. Запоріжжя, вул. Тимчасова (уточнити)",2022-02-27,Окупація Бердянська,тимчасово_переміщений
Енергодарський міський суд (тимчасово переміщений),Запорізька область,Василівський район,Енергодар,"м. Енергодар, вул. Енергетиків, 1",Запорізька область,Запорізький район,Запоріжжя,"м. Запоріжжя, вул. Тимчасова (уточнити)",2022-03-04,Окупація Енергодара та ЗАЕС,тимчасово_переміщений
Сімферопольський міський суд (тимчасово переміщений),Автономна Республіка Крим,,Сімферополь,"м. Сімферополь, вул. Леніна, 1",Київська область,Броварський район,Київ,"м. Київ (тимчасово переміщений з 2014)",2014-02-27,Окупація Криму Росією,тимчасово_переміщений
Ялтинський міський суд (тимчасово переміщений),Автономна Республіка Крим,,Ялта,"м. Ялта, вул. Пушкінська, 1",Київська область,Броварський район,Київ,"м. Київ (тимчасово переміщений з 2014)",2014-02-27,Окупація Криму Росією,тимчасово_переміщений
Керченський міський суд (тимчасово переміщений),Автономна Республіка Крим,,Керч,"м. Керч, вул. Леніна, 1",Київська область,Броварський район,Київ,"м. Київ (тимчасово переміщений з 2014)",2014-02-27,Окупація Криму Росією,тимчасово_переміщений
Євпаторійський міський суд (тимчасово переміщений),Автономна Республіка Крим,,Євпаторія,"м. Євпаторія, вул. Леніна, 1",Київська область,Броварський район,Київ,"м. Київ (тимчасово переміщений з 2014)",2014-02-27,Окупація Криму Росією,тимчасово_переміщений
Севастопольський міський суд (тимчасово переміщений),Автономна Республіка Крим,,Севастополь,"м. Севастополь, вул. Леніна, 1",Київська область,Броварський район,Київ,"м. Київ (тимчасово переміщений з 2014)",2014-02-27,Окупація Севастополя Росією,тимчасово_переміщений
