court_name,oblast_name,raion_name,settlement_name,notes
Вінницький міський суд,Вінницька область,Вінницький район,Вінниця,Місто обласного значення
Вінницький районний суд,Вінницька область,Вінницький район,,Сільська місцевість Вінницького району
Гайсинський районний суд,Вінницька область,Гайсинський район,,
Жмеринський міськрайонний суд,Вінницька область,Жмеринський район,,
Могилів-Подільський районний суд,Вінницька область,Могилів-Подільський район,,
Тульчинський районний суд,Вінницька область,Тульчинський район,,
Хмільницький міськрайонний суд,Вінницька область,Хмільницький район,,
Луцький міськрайонний суд,Волинська область,Луцький район,,
Володимир-Волинський міськрайонний суд,Волинська область,Володимир-Волинський район,,
Ковельський міськрайонний суд,Волинська область,Ковельський район,,
Камінь-Каширський районний суд,Волинська область,Камінь-Каширський район,,
Дніпровський районний суд міста Дніпра,Дніпропетровська область,Дніпровський район,Дніпро,Місто обласного значення
Кам'янський міський суд,Дніпропетровська область,Кам'янський район,Кам'янське,
Криворізький районний суд,Дніпропетровська область,Криворізький район,,
Нікопольський міськрайонний суд,Дніпропетровська область,Нікопольський район,,
Новомосковський міськрайонний суд,Дніпропетровська область,Новомосковський район,,
Павлоградський міськрайонний суд,Дніпропетровська область,Павлоградський район,,
Синельниківський районний суд,Дніпропетровська область,Синельниківський район,,
Бахмутський міськрайонний суд,Донецька область,Бахмутський район,,
Волноваський районний суд,Донецька область,Волноваський район,,
Маріупольський міський суд,Донецька область,Маріупольський район,Маріуполь,
Покровський міськрайонний суд,Донецька область,Покровський район,,
Житомирський міський суд,Житомирська область,Житомирський район,Житомир,
Бердичівський міськрайонний суд,Житомирська область,Бердичівський район,,
Коростенський міськрайонний суд,Житомирська область,Коростенський район,,
Новоград-Волинський міськрайонний суд,Житомирська область,Новоград-Волинський район,,
Берегівський районний суд,Закарпатська область,Берегівський район,,
Мукачівський міськрайонний суд,Закарпатська область,Мукачівський район,,
Рахівський районний суд,Закарпатська область,Рахівський район,,
Тячівський районний суд,Закарпатська область,Тячівський район,,
Ужгородський міськрайонний суд,Закарпатська область,Ужгородський район,,
Хустський районний суд,Закарпатська область,Хустський район,,
Запорізький районний суд,Запорізька область,Запорізький район,Запоріжжя,
Бердянський міськрайонний суд,Запорізька область,Бердянський район,,
Мелітопольський міськрайонний суд,Запорізька область,Мелітопольський район,,
Пологівський районний суд,Запорізька область,Пологівський район,,
Василівський районний суд,Запорізька область,Василівський район,,
Івано-Франківський міський суд,Івано-Франківська область,Івано-Франківський район,Івано-Франківськ,
Верховинський районний суд,Івано-Франківська область,Верховинський район,,
Калуський міськрайонний суд,Івано-Франківська область,Калуський район,,
Коломийський міськрайонний суд,Івано-Франківська область,Коломийський район,,
Надвірнянський районний суд,Івано-Франківська область,Надвірнянський район,,
Білоцерківський міськрайонний суд,Київська область,Білоцерківський район,,
Бориспільський міськрайонний суд,Київська область,Бориспільський район,,
Броварський міськрайонний суд,Київська область,Броварський район,,
Бучанський міськрайонний суд,Київська область,Буча-Ірпінський район,,
Обухівський районний суд,Київська область,Обухівський район,,
Фастівський міськрайонний суд,Київська область,Фастівський район,,
Вишгородський районний суд,Київська область,Вишгородський район,,
Кропивницький міськрайонний суд,Кіровоградська область,Кропивницький район,,
Голованівський районний суд,Кіровоградська область,Голованівський район,,
Новоукраїнський районний суд,Кіровоградська область,Новоукраїнський район,,
Олександрійський міськрайонний суд,Кіровоградська область,Олександрійський район,,
Сватівський районний суд,Луганська область,Сватівський район,,
Сєвєродонецький міський суд,Луганська область,Сєвєродонецький район,Сєвєродонецьк,
Старобільський районний суд,Луганська область,Старобільський район,,
Львівський міський суд,Львівська область,Львівський район,Львів,
Дрогобицький міськрайонний суд,Львівська область,Дрогобицький район,,
Золочівський районний суд,Львівська область,Золочівський район,,
Самбірський міськрайонний суд,Львівська область,Самбірський район,,
Стрийський міськрайонний суд,Львівська область,Стрийський район,,
Червоноградський міськрайонний суд,Львівська область,Червоноградський район,,
Яворівський районний суд,Львівська область,Яворівський район,,
Миколаївський міський суд,Миколаївська область,Миколаївський район,Миколаїв,
Баштанський районний суд,Миколаївська область,Баштанський район,,
Вознесенський міськрайонний суд,Миколаївська область,Вознесенський район,,
Первомайський міськрайонний суд,Миколаївська область,Первомайський район,,
Одеський міський суд,Одеська область,Одеський район,Одеса,
Балтський міськрайонний суд,Одеська область,Балтський район,,
Березівський районний суд,Одеська область,Березівський район,,
Білгород-Дністровський міськрайонний суд,Одеська область,Білгород-Дністровський район,,
Болградський районний суд,Одеська область,Болградський район,,
