name,name_en,koatuu_code
Вінницька область,Vinnytsia Oblast,0500000000
Волинська область,Volyn Oblast,0700000000
Дніпропетровська область,Dnipropetrovsk Oblast,1200000000
Донецька область,Donetsk Oblast,1400000000
Житомирська область,Zhytomyr Oblast,1800000000
Закарпатська область,Zakarpattia Oblast,2100000000
Запорізька область,Zaporizhzhia Oblast,2300000000
Івано-Франківська область,Ivano-Frankivsk Oblast,2600000000
Київська область,Kyiv Oblast,3200000000
Кіровоградська область,Kirovohrad Oblast,3500000000
Луганська область,Luhansk Oblast,4400000000
Львівська область,Lviv Oblast,4600000000
Миколаївська область,Mykolaiv Oblast,4800000000
Одеська область,Odesa Oblast,5100000000
Полтавська область,Poltava Oblast,5300000000
Рівненська область,Rivne Oblast,5600000000
Сумська область,Sumy Oblast,5900000000
Тернопільська область,Ternopil Oblast,6100000000
Харківська область,Kharkiv Oblast,6300000000
Херсонська область,Kherson Oblast,6500000000
Хмельницька область,Khmelnytskyi Oblast,6800000000
Черкаська область,Cherkasy Oblast,7100000000
Чернівецька область,Chernivtsi Oblast,7300000000
Чернігівська область,Chernihiv Oblast,7400000000
місто Київ,Kyiv City,8000000000
Автономна Республіка Крим,Autonomous Republic of Crimea,0100000000
