name,oblast_name,koatuu_code
Вінницький район,Вінницька область,0520800000
Гайсинський район,Вінницька область,0521400000
Жмеринський район,Вінницька область,0522800000
Могилів-Подільський район,Вінницька область,0524200000
Тульчинський район,Вінницька область,0525400000
Хмільницький район,Вінницька область,0525800000
Луцький район,Волинська область,0720900000
Володимир-Волинський район,Волинська область,0720400000
Ковельський район,Волинська область,0721800000
Камінь-Каширський район,Волинська область,0721500000
Дніпровський район,Дніпропетровська область,1221000000
Кам'янський район,Дніпропетровська область,1221800000
Криворізький район,Дніпропетровська область,1222700000
Нікопольський район,Дніпропетровська область,1224600000
Новомосковський район,Дніпропетровська область,1225000000
Павлоградський район,Дніпропетrovська область,1225400000
Синельниківський район,Дніпропетровська область,1226800000
Бахмутський район,Донецька область,1420700000
Волноваський район,Донецька область,1421000000
Горлівський район,Донецька область,1422000000
Калміуський район,Донецька область,1422800000
Маріупольський район,Донецька область,1424400000
Покровський район,Донецька область,1424800000
Житомирський район,Житомирська область,1820800000
Бердичівський район,Житомирська область,1820400000
Коростенський район,Житомирська область,1822400000
Новоград-Волинський район,Житомирська область,1823400000
Закарпатський район,Закарпатська область,2100000000
Берегівський район,Закарпатська область,2120300000
Мукачівський район,Закарпатська область,2123800000
Рахівський район,Закарпатська область,2124600000
Тячівський район,Закарпатська область,2125600000
Ужгородський район,Закарпатська область,2125800000
Хустський район,Закарпатська область,2126200000
Запорізький район,Запорізька область,2320900000
Бердянський район,Запорізька область,2320500000
Мелітопольський район,Запорізька область,2324200000
Пологівський район,Запорізька область,2325000000
Василівський район,Запорізька область,2321400000
Івано-Франківський район,Івано-Франківська область,2620900000
Верховинський район,Івано-Франківська область,2621400000
Калуський район,Івано-Франківська область,2622400000
Коломийський район,Івано-Франківська область,2622800000
Надвірнянський район,Івано-Франківська область,2623600000
Білоцерківський район,Київська область,3220300000
Бориспільський район,Київська область,3220500000
Броварський район,Київська область,3221000000
Буча-Ірпінський район,Київська область,3221500000
Обухівський район,Київська область,3224200000
Фастівський район,Київська область,3225800000
Вишгородський район,Київська область,3221800000
Кропивницький район,Кіровоградська область,3520800000
Голованівський район,Кіровоградська область,3521400000
Новоукраїнський район,Кіровоградська область,3524200000
Олександрійський район,Кіровоградська область,3524600000
Луганський район,Луганська область,4420900000
Алчевський район,Луганська область,4420300000
Довжанський район,Луганська область,4421800000
Сватівський район,Луганська область,4425400000
Сєвєродонецький район,Луганська область,4425800000
Старобільський район,Луганська область,4426200000
Львівський район,Львівська область,4620900000
Дрогобицький район,Львівська область,4621800000
Золочівський район,Львівська область,4622400000
Самбірський район,Львівська область,4625000000
Стрийський район,Львівська область,4625400000
Червоноградський район,Львівська область,4626200000
Яворівський район,Львівська область,4626800000
Миколаївський район,Миколаївська область,4820800000
Баштанський район,Миколаївська область,4820300000
Вознесенський район,Миколаївська область,4821000000
Первомайський район,Миколаївська область,4824600000
Одеський район,Одеська область,5120900000
Балтський район,Одеська область,5120300000
Березівський район,Одеська область,5120500000
Білгород-Дністровський район,Одеська область,5120800000
Болградський район,Одеська область,5121000000
Ізмаїльський район,Одеська область,5122400000
Подільський район,Одеська область,5125000000
Роздільнянський район,Одеська область,5125400000
Полтавський район,Полтавська область,5320900000
Кременчуцький район,Полтавська область,5322400000
Лубенський район,Полтавська область,5323400000
Миргородський район,Полтавська область,5323800000
Рівненський район,Рівненська область,5620900000
Вараський район,Рівненська область,5621400000
Дубенський район,Рівненська область,5621800000
Сарненський район,Рівненська область,5625400000
Сумський район,Сумська область,5920900000
Конотопський район,Сумська область,5922400000
Охтирський район,Сумська область,5924600000
Роменський район,Сумська область,5925000000
Шосткинський район,Сумська область,5926800000
Тернопільський район,Тернопільська область,6120900000
Кременецький район,Тернопільська область,6122400000
Чортківський район,Тернопільська область,6125800000
Харківський район,Харківська область,6320900000
Богодухівський район,Харківська область,6321000000
Ізюмський район,Харківська область,6322400000
Красноградський район,Харківська область,6322800000
Куп'янський район,Харківська область,6323400000
Лозівський район,Харківська область,6323800000
Чугуївський район,Харківська область,6326200000
Херсонський район,Херсонська область,6520900000
Бериславський район,Херсонська область,6520500000
Генічеський район,Херсонська область,6521400000
Каховський район,Херсонська область,6522400000
Скадовський район,Херсонська область,6525400000
Хмельницький район,Хмельницька область,6820900000
Кам'янець-Подільський район,Хмельницька область,6822400000
Шепетівський район,Хмельницька область,6826200000
Черкаський район,Черкаська область,7120900000
Золотоніський район,Черкаська область,7122400000
Умань,Черкаська область,7125800000
Чернівецький район,Чернівецька область,7320900000
Дністровський район,Чернівецька область,7321800000
Чернігівський район,Чернігівська область,7420900000
Корюківський район,Чернігівська область,7422400000
Ніжинський район,Чернігівська область,7424600000
Новгород-Сіверський район,Чернігівська область,7425000000
Прилуцький район,Чернігівська область,7425400000
