current_name,old_name,oblast,type,rename_date,reason,population
Кропивницький,Кіровоград,Кіровоградська область,місто,2016-07-21,Декомунізація,222695
Дніпро,Дніпропетровськ,Дніпропетровська область,місто,2016-05-19,Декомунізація,980948
Бахмут,Артемівськ,Донецька область,місто,2016-02-04,Декомунізація,70000
Покровськ,Красноармійськ,Донецька область,місто,2016-05-12,Декомунізація,61200
Торецьк,Дзержинськ,Донецька область,місто,2016-07-28,Декомунізація,32000
Мирноград,Димитров,Донецька область,місто,2016-07-28,Декомунізація,46700
Новогродівка,Ново-Економічне,Донецька область,місто,2016-07-28,Декомунізація,14500
Добропілля,Добропільське,Донецька область,місто,2016-12-15,Декомунізація,28300
Українськ,Комсомольське,Донецька область,місто,2016-07-28,Декомунізація,10700
Лиман,Красний Лиман,Донецька область,місто,2016-05-12,Декомунізація,20000
Довжанськ,Свердловськ,Луганська область,місто,2016-05-12,Декомунізація,22000
Золоте,Комсомольське,Луганська область,селище міського типу,2016-05-12,Декомунізація,11000
Бахматове,Жданівка,Луганська область,селище міського типу,2016-05-12,Декомунізація,7000
Гірник,Кірове,Донецька область,селище міського типу,2016-05-12,Декомунізація,13000
Новодонецьке,Красний Партизан,Луганська область,селище міського типу,2016-05-12,Декомунізація,6000
Соледар,Соледар,Донецька область,місто,2014-01-01,Без змін (але важливе місто),10000
Часів Яр,Часів Яр,Донецька область,місто,2014-01-01,Без змін,12000
Кам'янське,Дніпродзержинськ,Дніпропетровська область,місто,2016-05-19,Декомунізація,231977
Інгулець,Кірово,Дніпропетровська область,місто,2016-05-19,Декомунізація,13000
Чорноморськ,Іллічівськ,Одеська область,місто,2016-05-12,Декомунізація,59000
Горішні Плавні,Комсомольськ,Полтавська область,місто,2016-05-12,Декомунізація,50000
Привілля,Червоний Прапор,Харківська область,селище міського типу,2016-05-12,Декомунізація,8000
Зміїв,Зміїв,Харківська область,місто,2014-01-01,Без змін (історичне місто),14000
Куп'янськ,Куп'янськ,Харківська область,місто,2014-01-01,Без змін (важливе місто окуповане 2022),27000
Ізюм,Ізюм,Харківська область,місто,2014-01-01,Без змін (важливе місто звільнене 2022),45000
Балаклія,Балаклія,Харківська область,місто,2014-01-01,Без змін (звільнене 2022),27000
Волчанськ,Волчанськ,Харківська область,місто,2014-01-01,Без змін (сильно зруйноване 2024),17000
Вовчанськ,Вовчанськ,Харківська область,місто,2014-01-01,Без змін (перейменування з Волчанськ),17000
Нова Каховка,Нова Каховка,Херсонська область,місто,2014-01-01,Без змін (окуповане 2022),45000
Олешки,Цюрупинськ,Херсонська область,місто,2016-05-12,Декомунізація,24000
Енергодар,Енергодар,Запорізька область,місто,2014-01-01,Без змін (окуповане з ЗАЕС),53000
Гуляйполе,Гуляйполе,Запорізька область,місто,2014-01-01,Без змін (Махно),13000
Кам'янка-Дніпровська,Кам'янка-Дніпровська,Запорізька область,місто,2016-05-19,Декомунізація,12000
Троїцьке,Троїцьке,Луганська область,селище міського типу,2014-01-01,Без змін,3000
Сватове,Сватове,Луганська область,місто,2014-01-01,Без змін (звільнене 2022),17000
Старобільськ,Старобільськ,Луганська область,місто,2014-01-01,Без змін (центр переміщених судів),16000
Рубіжне,Рубіжне,Луганська область,місто,2014-01-01,Без змін,56000
Лисичанськ,Лисичанськ,Луганська область,місто,2014-01-01,Без змін (окуповане 2022),95000
Попасна,Попасна,Луганська область,місто,2014-01-01,Без змін (окуповане зруйноване),20000
Щастя,Щастя,Луганська область,місто,2014-01-01,Без змін,12000
Кремінна,Кремінна,Луганська область,місто,2014-01-01,Без змін (окуповане 2022),18000
