settlement_id,alias_name,alias_type,valid_from,valid_to,reason
25,Кіровоград,старе_офіційне,1939-01-09,2016-07-21,Декомунізація - повернення історичної назви
25,Kirovohrad,транслітерація,1939-01-09,2016-07-21,Транслітерація старої назви
13,Дніпропетровськ,старе_офіційне,1926-05-09,2016-05-19,Декомунізація
13,Dnipropetrovsk,транслітерація,1926-05-09,2016-05-19,Транслітерація старої назви
13,Екатеринослав,історичне,1787-01-01,1926-05-09,Історична назва до 1926
14,Артемівськ,старе_офіційне,1924-01-01,2016-02-04,Декомунізація
14,Artemivsk,транслітерація,1924-01-01,2016-02-04,Транслітерація старої назви
15,Красноармійськ,старе_офіційне,1938-01-01,2016-05-12,Декомунізація
15,Красний Луч,старе_офіційне,1920-01-01,2016-06-28,Декомунізація
26,Кам'янське,старе_офіційне,2016-05-19,,Декомунізація (раніше Дніпродзержинськ)
26,Дніпродзержинськ,старе_офіційне,1936-01-01,2016-05-19,Декомунізація
26,Dniprodzerzhynsk,транслітерація,1936-01-01,2016-05-19,Транслітерація старої назви
