name,type,oblast_name,raion_name,koatuu_code,population
Київ,місто,місто Київ,,8000000000,2967360
Харків,місто,Харківська область,Харківський район,6310100000,1421125
Одеса,місто,Одеська область,Одеський район,5110100000,1015826
Дніпро,місто,Дніпропетровська область,Дніпровський район,1210100000,980948
Донецьк,місто,Донецька область,Калміуський район,1410100000,905364
Запоріжжя,місто,Запорізька область,Запорізький район,2310100000,722713
Львів,місто,Львівська область,Львівський район,4610100000,721301
Кривий Ріг,місто,Дніпропетровська область,Криворізький район,1211800000,612750
Миколаїв,місто,Миколаївська область,Миколаївський район,4810100000,476101
Маріуполь,місто,Донецька область,Маріупольський район,1412700000,431859
Луганськ,місто,Луганська область,Луганський район,4410100000,399559
Вінниця,місто,Вінницька область,Вінницький район,0510100000,370601
Макіївка,місто,Донецька область,Калміуський район,1411800000,340337
Севастополь,місто,Автономна Республіка Крим,,0155000000,340297
Сімферополь,місто,Автономна Республіка Крим,,0110100000,336460
Херсон,місто,Херсонська область,Херсонський район,6510100000,283649
Полтава,місто,Полтавська область,Полтавський район,5310100000,283402
Чернігів,місто,Чернігівська область,Чернігівський район,7410100000,282747
Черкаси,місто,Черкаська область,Черкаський район,7110100000,272651
Суми,місто,Сумська область,Сумський район,5910100000,259660
Житомир,місто,Житомирська область,Житомирський район,1810100000,261624
Хмельницький,місто,Хмельницька область,Хмельницький район,6810100000,274582
Чернівці,місто,Чернівецька область,Чернівецький район,7310100000,264298
Горлівка,місто,Донецька область,Горлівський район,1411200000,250991
Рівне,місто,Рівненська область,Рівненський район,5610100000,245289
Кам'янське,місто,Дніпропетровська область,Кам'янський район,1210700000,231977
Кропивницький,місто,Кіровоградська область,Кропивницький район,3510100000,222695
Івано-Франківськ,місто,Івано-Франківська область,Івано-Франківський район,2610100000,238196
Кременчук,місто,Полтавська область,Кременчуцький район,5310700000,220174
Тернопіль,місто,Тернопільська область,Тернопільський район,6110100000,217950
Луцьк,місто,Волинська область,Луцький район,0710100000,217103
Біла Церква,місто,Київська область,Білоцерківський район,3210300000,211080
Краматорськ,місто,Донецька область,Бахмутський район,1411500000,150084
Мелітополь,місто,Запорізька область,Мелітопольський район,2312400000,150768
Керч,місто,Автономна Республіка Крим,,0111500000,147033
Нікополь,місто,Дніпропетровська область,Нікопольський район,1214600000,107464
Ужгород,місто,Закарпатська область,Ужгородський район,2110100000,115542
Бердянськ,місто,Запорізька область,Бердянський район,2310500000,107928
Слов'янськ,місто,Донецька область,Бахмутський район,1414300000,106972
Сєвєродонецьк,місто,Луганська область,Сєвєродонецький район,4414300000,101135
Павлоград,місто,Дніпропетровська область,Павлоградський район,1215400000,103073
Алчевськ,місто,Луганська область,Алчевський район,4410300000,106550
Євпаторія,місто,Автономна Республіка Крим,,0110800000,106115
Лисичанськ,місто,Луганська область,Сєвєродонецький район,4412300000,95031
Кам'янець-Подільський,місто,Хмельницька область,Кам'янець-Подільський район,6810300000,99610
Бровари,місто,Київська область,Броварський район,3210800000,109473
Дрогобич,місто,Львівська область,Дрогобицький район,4610500000,76655
Вознесенськ,місто,Миколаївська область,Вознесенський район,4810900000,34548
Бориспіль,місто,Київська область,Бориспільський район,3210500000,63810
Чернівці,місто,Чернівецька область,Чернівецький район,7310100000,264298
Конотоп,місто,Сумська область,Конотопський район,5911000000,84787
Умань,місто,Черкаська область,Умань,7110900000,82923
Мукачево,місто,Закарпатська область,Мукачівський район,2113800000,85796
Коломия,місто,Івано-Франківська область,Коломийський район,2610900000,61140
Білгород-Дністровський,місто,Одеська область,Білгород-Дністровський район,5110200000,48396
Стрий,місто,Львівська область,Стрийський район,4615400000,59421
Ковель,місто,Волинська область,Ковельський район,0711800000,68278
Ірпінь,місто,Київська область,Буча-Ірпінський район,3211500000,66275
Красний Луч,місто,Луганська область,Довжанський район,4411800000,79893
Шостка,місто,Сумська область,Шосткинський район,5916800000,73733
Первомайськ,місто,Миколаївська область,Первомайський район,4814600000,45348
Бердичів,місто,Житомирська область,Бердичівський район,1810300000,73999
Кременчук,місто,Полтавська область,Кременчуцький район,5310700000,220174
Ізмаїл,місто,Одеська область,Ізмаїльський район,5111200000,70731
Чугуїв,місто,Харківська область,Чугуївський район,6316200000,31478
Миргород,місто,Полтавська область,Миргородський район,5313800000,38390
Новомосковськ,місто,Дніпропетровська область,Новомосковський район,1215000000,71618
Ніжин,місто,Чернігівська область,Ніжинський район,7414600000,66094
