oblast,district,settlement
Київська область,Броварський район,Бровари
Львівська область,Львівський район,Львів
Харківська область,Харківський район,Харків
Одеська область,Одеський район,Одеса
Дніпропетровська область,Дніпровський район,Дніпро
Вінницька область,Вінницький район,Вінниця
Волинська область,Луцький район,Луцьк
Донецька область,Маріупольський район,Маріуполь
Житомирська область,Житомирський район,Житомир
Закарпатська область,Ужгородський район,Ужгород
Запорізька область,Запорізький район,Запоріжжя
Івано-Франківська область,Івано-Франківський район,Івано-Франківськ
місто Київ,,Київ
Полтавська область,Полтавський район,Полтава
Чернігівська область,Чернігівський район,Чернігів
