oblast,raion,city,district,street_new,street_old,house_raw,house_num,house_slash,house_dash,house_letter,postcode,oblast_code,raion_code,city_code,district_code
,,Харків,Шевченківський район,проспект Перемоги,,59,59,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,59,59,,,,61201,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,43,43,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,43/47,43,47,,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,21,21,,,,61057,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,38,38,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,40,40,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,38,38,,,,61166,,,,
,,Харків,Шевченківський район,Університетська вулиця,,2,2,,,,,,,,
,,Харків,Шевченківський район,вулиця Євгенія Єніна,вулиця Бакуліна,3,3,,,,,,,,
,,Харків,Шевченківський район,вулиця Євгенія Єніна,вулиця Бакуліна,2,2,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,260,260,,,,21202,,,,
,,Харків,Шевченківський район,Університетська вулиця,,16,16,,,,,,,,
,,Харків,Шевченківський район,Римарська вулиця,,30,30,,,,61057,,,,
,,Харків,Шевченківський район,Космічна вулиця,,21,21,,,,,,,,
,,Харків,Шевченківський район,Європейська вулиця,Новгородська вулиця,38/44,38,44,,,,,,,
,,Харків,Шевченківський район,Проспект победы,,64а,64,,,а,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,4,4,,,,,,,,
,,Харків,Шевченківський район,Проспект науки,,77,77,,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,57А,57,,,А,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,293,293,,,,,,,,
,,Харків,Шевченківський район,вулиця Данилевського,,34,34,,,,,,,,
,,Харків,Шевченківський район,вулиця Євгенія Єніна,вулиця Бакуліна,4а,4,,,а,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,25,25,,,,61145,,,,
,,Харків,Шевченківський район,вулиця Дерев’янка,,3,3,,,,,,,,
,,Харків,Шевченківський район,Леніна проспект,,20,20,,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,48Г,48,,,Г,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,39,39,,,,,,,,
,,Харків,Шевченківський район,Отакара Яроша провулок,,14,14,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,39,39,,,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,3,3,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,295,295,,,,61045,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,244,244,,,,61045,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,32,32,,,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,77/79,77,79,,,61023,,,,
,,Харків,Шевченківський район,Леніна проспект,,19,19,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,37,37,,,,,,,,
,,Харків,Шевченківський район,Культури вулиця,,6/18,6,18,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,37,37,,,,,,,,
,,Харків,Шевченківський район,вулиця Шекспіра,,1а,1,,,а,,,,,
,,Харків,Шевченківський район,Двадцять Третього Серпня вулиця,,16,16,,,,,,,,
,,Харків,Шевченківський район,вулиця Вартових Неба,,41,41,,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,7587757,7587757,,,,61072,,,,
,,Харків,Шевченківський район,Культури вулиця,,22б,22,,,б,,,,,
,,Харків,Шевченківський район,вулиця Вартових Неба,,42,42,,,,,,,,
,,Харків,Шевченківський район,вулиця 23 Серпня,,64,64,,,,,,,,
,,Харків,Шевченківський район,Леніна проспект,,40,40,,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,60,60,,,,61000,,,,
,,Харків,Шевченківський район,вулиця Дерев’янка,,1,1,,,,,,,,
,,Харків,Шевченківський район,Двадцять Третього Серпня вулиця,,39а,39,,,а,61072,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,52а,52,,,а,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,191а,191,,,а,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,191А,191,,,А,61000,,,,
,,Харків,Шевченківський район,Сумская улица,,71,71,,,,,,,,
,,Харків,Шевченківський район,вулиця Вартових Неба,,42,42,,,,61072,,,,
,,Харків,Шевченківський район,вулиця Данилевського,,18,18,,,,,,,,
,,Харків,Шевченківський район,Римарська вулиця,,28,28,,,,61057,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,71,71,,,,,,,,
,,Харків,Шевченківський район,Культури вулиця,,26,26,,,,,,,,
,,Харків,Шевченківський район,Двадцять Третього Серпня вулиця,,26,26,,,,,,,,
,,Харків,Шевченківський район,Двадцять Третього Серпня вулиця,,33а,33,,,а,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,27/23,27,23,,,,,,,
,,Харків,Шевченківський район,вулиця Олександра Олеся,вулиця Сергія Єсеніна,1,1,,,,,,,,
,,Харків,Шевченківський район,Культури вулиця,,17,17,,,,,,,,
,,Харків,Шевченківський район,Авіаційна вулиця,,10,10,,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,21,21,,,,,,,,
,,Харків,Шевченківський район,Університетська вулиця,,29,29,,,,,,,,
,,Харків,Шевченківський район,Трінклера вулиця,,22,22,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,94а,94,,,а,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,19,19,,,,,,,,
,,Харків,Шевченківський район,Академіка Ляпунова вулиця,,5,5,,,,,,,,
,,Харків,Шевченківський район,проспект Незалежності,Правди проспект,5,5,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,61ж,61,,,ж,61000,,,,
,,Харків,Шевченківський район,Конституції майдан,,1,1,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,36,36,,,,61166,,,,
,,Харків,Шевченківський район,Балакірєва вулиця,,17б,17,,,б,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,228,228,,,,,,,,
,,Харків,Шевченківський район,Отакара Яроша провулок,,18г,18,,,г,,,,,
,,Харків,Шевченківський район,Університетська вулиця,,9,9,,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,40,40,,,,61204,,,,
,,Харків,Шевченківський район,Квітки-Основ’яненка вулиця,,13,13,,,,,,,,
,,Харків,Шевченківський район,улица Ленина,,27а,27,,,а,,,,,
,,Харків,Шевченківський район,Новгородская улица,,85а,85,,,а,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,18,18,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,48,48,,,,,,,,
,,Харків,Шевченківський район,Бориса Чичибабина вулиця,,6,6,,,,,,,,
,,Харків,Шевченківський район,Ромена Роллана вулиця,,4,4,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,28/7в,28,7в,,,,,,,
,,Харків,Шевченківський район,Бориса Чичибабина вулиця,,8,8,,,,61022,,,,
,,Харків,Шевченківський район,Шатилова дача,,4,4,,,,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,77/79,77,79,,,,,,,
,,Харків,Шевченківський район,вулиця Мирослава Мисли,Цілиноградська вулиця,52а,52,,,а,,,,,
,,Харків,Шевченківський район,Культури вулиця,,16,16,,,,,,,,
,,Харків,Шевченківський район,Sumska Street,,25,25,,,,61057,,,,
,,Харків,Шевченківський район,Павловская площадь,,1/3,1,3,,,,,,,
,,Харків,Шевченківський район,Конституції майдан,,9,9,,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,14,14,,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,9а,9,,,а,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,17,17,,,,,,,,
,,Харків,Шевченківський район,вулиця Євгенія Єніна,вулиця Бакуліна,9,9,,,,,,,,
,,Харків,Шевченківський район,Трінклера вулиця,,6,6,,,,61058,,,,
,,Харків,Шевченківський район,Людвига Свободи проспект,,50в,50,,,в,61204,,,,
,,Харків,Шевченківський район,Культури вулиця,,8,8,,,,61058,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,57,57,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,174а,174,,,а,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,11,11,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,7,7,,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,18а,18,,,а,,,,,
,,Харків,Шевченківський район,вулиця Квітки-Основ’яненка,,2,2,,,,,,,,
,,Харків,Шевченківський район,Свободи майдан,,8,8,,,,61058,,,,
,,Харків,Шевченківський район,Римарська вулиця,,1,1,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,58,58,,,,,,,,
,,Харків,Шевченківський район,Трінклера вулиця,,9,9,,,,,,,,
,,Харків,Шевченківський район,вулиця Данилевського,,31,31,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,77,77,,,,,,,,
,,Харків,Шевченківський район,Бакулина улица,,14,14,,,,61000,,,,
,,Харків,Шевченківський район,вулиця 23 Серпня,,77,77,,,,,,,,
,,Харків,Шевченківський район,вулиця Євгенія Єніна,вулиця Бакуліна,4а,4,,,а,61145,,,,
,,Харків,Шевченківський район,вулиця Культури,,25,25,,,,61145,,,,
,,Харків,Шевченківський район,вулиця Старицького,,8,8,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,65г к2,65г к2,,,,61174,,,,
,,Харків,Шевченківський район,Космічна вулиця,,23,23,,,,,,,,
,,Харків,Шевченківський район,Ромена Роллана вулиця,,4 (п. 4),4 (п. 4),,,,61022,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,109,109,,,,61000,,,,
,,Харків,Шевченківський район,Буковий провулок,,27,27,,,,6100,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,9д,9,,,д,61166,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,43а,43,,,а,,,,,
,,Харків,Шевченківський район,Римарська вулиця,,17,17,,,,,,,,
,,Харків,Шевченківський район,Римарська вулиця,,25,25,,,,61000,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,52А,52,,,А,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,22,22,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,24,24,,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,35,35,,,,,,,,
,,Харків,Шевченківський район,Європейська вулиця,Новгородська вулиця,3а,3,,,а,61145,,,,
,,Харків,Шевченківський район,вулиця Спецпідрозділу Кракен,Серпова вулиця,4В,4,,,В,,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,69,69,,,,,,,,
,,Харків,Шевченківський район,вулиця 23 Серпня,,30,30,,,,,,,,
,,Харків,Шевченківський район,Nauki avenue,,43а,43,,,а,,,,,
,,Харків,Шевченківський район,Квітки-Основ’яненка вулиця,,4/6,4,6,,,,,,,
,,Харків,Шевченківський район,Культури вулиця,,8,8,,,,,,,,
,,Харків,Шевченківський район,Римарська вулиця,,10,10,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,174а,174,,,а,61000,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,174,174,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,17а,17,,,а,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,99а,99,,,а,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,41,41,,,,61202,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,9,9,,,,61058,,,,
,,Харків,Шевченківський район,проспект Перемоги,,68,68,,,,,,,,
,,Харків,Шевченківський район,Римарська вулиця,,19,19,,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,26,26,,,,,,,,
,,Харків,Шевченківський район,проспект Незалежності,Правди проспект,10а,10,,,а,,,,,
,,Харків,Шевченківський район,вулиця Мирослава Мисли,Цілиноградська вулиця,48В,48,,,В,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,21,21,,,,61000,,,,
,,Харків,Шевченківський район,Серпова вулиця,,4,4,,,,61166,,,,
,,Харків,Шевченківський район,Михаила Гуревича,,1/1,1,1,,,,,,,
,,Харків,Шевченківський район,Батумська вулиця,,4А,4,,,А,,,,,
,,Харків,Шевченківський район,Батумська вулиця,,16,16,,,,,,,,
,,Харків,Шевченківський район,Севастопольська вулиця,,23,23,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,62/1,62,1,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,36,36,,,,61204,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,174,174,,,,61000,,,,
,,Харків,Шевченківський район,Інженерний провулок,,9,9,,,,61145,,,,
,,Харків,Шевченківський район,Сумська вулиця,Карла Лібкнехта,41/2,41,2,,,61022,,,,
,,Харків,Шевченківський район,вулиця Євгенія Єніна,вулиця Бакуліна,13,13,,,,61166,,,,
,,Харків,Шевченківський район,Конституції майдан,,1,1,,,,61003,,,,
,,Харків,Шевченківський район,Букова вулиця,Заводу Комсомолець вулиця,27,27,,,,,,,,
,,Харків,Шевченківський район,Буковий провулок,,27,27,,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,39,39,,,,,,,,
,,Харків,Шевченківський район,вулиця 23 Серпня,,33а,33,,,а,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,104 - А,104,,А,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,64а,64,,,а,61204,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,30,30,,,,61000,,,,
,,Харків,Шевченківський район,проспект Перемоги,,62,62,,,,,,,,
,,Харків,Шевченківський район,Трінклера вулиця,,14,14,,,,61022,,,,
,,Харків,Шевченківський район,Олексіївська вулиця,,276,276,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,58а,58,,,а,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,12,12,,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,27,27,,,,,,,,
,,Харків,Шевченківський район,Фронтова вулиця,,3а,3,,,а,61084,,,,
,,Харків,Шевченківський район,вулиця Євгенія Єніна,вулиця Бакуліна,1,1,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,17,17,,,,,,,,
,,Харків,Шевченківський район,вулиця Шекспіра,,16,16,,,,61000,,,,
,,Харків,Шевченківський район,Отакара Яроша провулок,,12,12,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,216б,216,,,б,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,7,7,,,,,,,,
,,Харків,Шевченківський район,Отакара Яроша провулок,,20,20,,,,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,16/3,16,3,,,,,,,
,,Харків,Шевченківський район,вулиця Шекспіра,,1,1,,,,,,,,
,,Харків,Шевченківський район,вулиця Шекспіра,,4,4,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,50/52,50,52,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,35,35,,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,56,56,,,,61000-61499,,,,
,,Харків,Шевченківський район,Космічна вулиця,,4,4,,,,61145,,,,
,,Харків,Шевченківський район,вулиця Олександра Олеся,вулиця Сергія Єсеніна,10,10,,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,30б,30,,,б,61000,,,,
,,Харків,Шевченківський район,проспект Перемоги,,70,70,,,,61204,,,,
,,Харків,Шевченківський район,проспект Перемоги,,64В,64,,,В,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,27/23,27,23,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,199б,199,,,б,,,,,
,,Харків,Шевченківський район,Мирна вулиця,,19,19,,,,,,,,
,,Харків,Шевченківський район,Севастопольська вулиця,,11,11,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,111а,111,,,а,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,18,18,,,,,,,,
,,Харків,Шевченківський район,"Космическая, 21 бизнес центр Space Hall офис 702",,61145,61145,,,,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,6а,6,,,а,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,6,6,,,,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,8,8,,,,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,8а,8,,,а,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,10,10,,,,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,14,14,,,,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,16,16,,,,,,,,
,,Харків,Шевченківський район,Космічна вулиця,,25а,25,,,а,,,,,
,,Харків,Шевченківський район,вулиця Євгенія Єніна,вулиця Бакуліна,8/9,8,9,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,9,9,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,199/1,199,1,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,222а,222,,,а,,,,,
,,Харків,Шевченківський район,Заліська вулиця,,3а,3,,,а,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,101Ж,101,,,Ж,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,115,115,,,,61000,,,,
,,Харків,Шевченківський район,Заліська вулиця,,5,5,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,150а,150,,,а,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,105б,105,,,б,,,,,
,,Харків,Шевченківський район,Заліська вулиця,,1а,1,,,а,,,,,
,,Харків,Шевченківський район,Заліська вулиця,,1,1,,,,,,,,
,,Харків,Шевченківський район,Римарська вулиця,,19,19,,,,61000,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,9/8,9,8,,,,,,,
,,Харків,Шевченківський район,проспект Науки,Леніна проспект,12 (п1-п6),12 (п1-п6),,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,55в,55,,,в,,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,18,18,,,,61100,,,,
,,Харків,Шевченківський район,Інженерний провулок,,9,9,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,61ж,61,,,ж,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,70Б,70,,,Б,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,70,70,,,,,,,,
,,Харків,Шевченківський район,Лозовеньківський проспект,,6,6,,,,,,,,
,,Харків,Шевченківський район,Sumska,,7,7,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,секция 2,секция 2,,,,61174,,,,
,,Харків,Шевченківський район,проспект Перемоги,,73б,73,,,б,61174,,,,
,,Харків,Шевченківський район,проспект Перемоги,,73а,73,,,а,61174,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,124А,124,,,А,61145,,,,
,,Харків,Шевченківський район,вулиця Отакара Яроша,,19,19,,,,,,,,
,,Харків,Шевченківський район,Піщана вулиця,,11,11,,,,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,101ж,101,,,ж,,,,,
,,Харків,Шевченківський район,Клочківська вулиця,,101в,101,,,в,,,,,
,,Харків,Шевченківський район,провулок Кравцова,,19,19,,,,,,,,
,,Харків,Шевченківський район,проспект Перемоги,,75б(57),75б(57),,,,,,,,
,,Харків,Шевченківський район,Людвіга Свободи проспект,,58(54),58(54),,,,,,,,
